"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000204564",363.684122807278,-0.40437323270989,0.0638945780524029,-6.32875660244981,2.4714459352232e-10,2.30815862631731e-06
"ENSG00000133874",537.837517996536,-0.423327281659006,0.0673823022033152,-6.28246984470321,3.33235923816835e-10,2.30815862631731e-06
"ENSG00000174173",478.519126098788,0.388390046649199,0.0636006093361846,6.10670323292375,1.01710101427852e-09,4.50786270280711e-06
"ENSG00000164970",571.240529018355,-0.458533989156787,0.0755759331967916,-6.06719586197916,1.30162786481112e-09,4.50786270280711e-06
"ENSG00000198663",2682.92721619098,-0.294291650788745,0.049242727108393,-5.97634753536194,2.28195918396952e-09,6.32239611510595e-06
"ENSG00000196209",4806.3679479653,-0.485428994252904,0.0817940915419291,-5.93476845456576,2.94260483543178e-09,6.79398413087275e-06
"ENSG00000214193",129.015682220799,-0.721893873170917,0.123757896606909,-5.83311362719637,5.44024927956739e-09,6.96755635982191e-06
"ENSG00000157184",492.456469632812,-0.333689927917753,0.0569003563072188,-5.86446113124636,4.50593629191843e-09,6.96755635982191e-06
"ENSG00000143379",1937.32630174952,-0.298239670992049,0.0512758809107935,-5.81637342342119,6.01380414332667e-09,6.96755635982191e-06
"ENSG00000165782",1718.084132335,-0.232004160028591,0.0394757854620337,-5.87712587129454,4.17450791688669e-09,6.96755635982191e-06
"ENSG00000204435",760.980327845554,-0.312905432250158,0.0538029302966292,-5.81576933681923,6.0355645937965e-09,6.96755635982191e-06
"ENSG00000106355",465.10465557664,0.467785865060237,0.0801409431151619,5.83703968130288,5.31364443115469e-09,6.96755635982191e-06
"ENSG00000166135",2611.95682861397,-0.275581934926359,0.0477592729666144,-5.7702288541746,7.91639477585575e-09,8.43583206384074e-06
"ENSG00000183558",12.2421918709542,-1.57232600049286,0.274607793586337,-5.72571513706337,1.02998926362787e-08,8.51112985533141e-06
"ENSG00000130312",345.353096800189,0.463032297270378,0.0806793788023653,5.73916537464469,9.51442774542066e-09,8.51112985533141e-06
"ENSG00000134352",3106.06538046516,0.566300028947937,0.0985059347746674,5.74889249305993,8.98299103503543e-09,8.51112985533141e-06
"ENSG00000204231",2851.98706096954,-0.375980304903863,0.0658040811859788,-5.7136320138146,1.10590007504487e-08,8.51112985533141e-06
"ENSG00000128609",766.034385501015,0.564144679585951,0.0987165802855219,5.71479155734784,1.09838576340278e-08,8.51112985533141e-06
"ENSG00000160055",521.995068657428,-0.412326893586182,0.0727487370470368,-5.66782201757792,1.44624077715895e-08,9.39065897227158e-06
"ENSG00000142687",2891.85805243664,-0.38120373593751,0.0671202646061328,-5.67941348524838,1.35157390826547e-08,9.39065897227158e-06
"ENSG00000072062",3077.92320873405,-0.517366914794384,0.091253057655932,-5.669584429106,1.43144297952528e-08,9.39065897227158e-06
"ENSG00000078804",707.065043409157,-0.645460309628684,0.113987418622539,-5.66255747720788,1.49133398823341e-08,9.39065897227158e-06
"ENSG00000269858",1364.74400781672,-0.366070445600615,0.0649070566439769,-5.63991751480206,1.70131644161326e-08,1.01723572719327e-05
"ENSG00000124380",421.707466057851,0.437905681202671,0.0777276533716076,5.63384667113377,1.762337215956e-08,1.01723572719327e-05
"ENSG00000204172",5.24052300016876,-1.57361569448109,0.280411965345786,-5.61179938431158,2.00233496127345e-08,1.10953384874084e-05
"ENSG00000139324",175.554086056767,0.540240854270385,0.0968830214654739,5.5762180627584,2.45803773913022e-08,1.30966141539119e-05
"ENSG00000175215",10736.4558074523,-0.344907402033959,0.0620270565650736,-5.56059599043059,2.68854927382442e-08,1.37942492926999e-05
"ENSG00000065548",1479.62272603345,0.347353718156482,0.0625929632906816,5.54940523495225,2.86643072364669e-08,1.4181666005242e-05
"ENSG00000182217",16.7041397236872,-1.84659834660494,0.333892838704563,-5.53051198632883,3.19297478263507e-08,1.46618289114127e-05
"ENSG00000160741",2926.77923593326,-0.472087112412901,0.0854341893532635,-5.52573994072629,3.28099831266725e-08,1.46618289114127e-05
"ENSG00000149532",4817.99048513015,-0.344829509469906,0.0623933124253984,-5.52670624567668,3.26298621019212e-08,1.46618289114127e-05
"ENSG00000220205",4480.25095089016,-0.337949888517981,0.0613792935625387,-5.50592665543874,3.67231408235056e-08,1.52403112494798e-05
"ENSG00000167680",19.34331947421,1.64798857650657,0.299488055701584,5.50268548321894,3.74049362941106e-08,1.52403112494798e-05
"ENSG00000165025",7300.4121148854,-0.357916527022579,0.0649662994255309,-5.50926449847815,3.60336120802076e-08,1.52403112494798e-05
"ENSG00000008952",2654.62364760233,0.499152516317565,0.0909079892404126,5.4907442182834,4.0024363676956e-08,1.58416431433392e-05
"ENSG00000147669",590.668102587274,0.433634769210055,0.0790780986480445,5.48362665040857,4.16693708254777e-08,1.60346053901484e-05
"ENSG00000186517",13507.6449575269,-0.306244080775045,0.0559291645279123,-5.47557045344759,4.36104404164827e-08,1.63279846240415e-05
"ENSG00000135698",287.020557219759,0.467503718135507,0.085847786536046,5.44572827092298,5.15938491041255e-08,1.67297379018694e-05
"ENSG00000177302",1226.06164673846,-0.358135507732717,0.0657477557392535,-5.4471138019225,5.11937112258735e-08,1.67297379018694e-05
"ENSG00000135926",5334.20000830905,-0.365390772203977,0.0669370549625656,-5.45872196511067,4.79574057916314e-08,1.67297379018694e-05
"ENSG00000163607",190.322959327163,0.41305650244598,0.0756274134690887,5.46172986088978,4.71517209960116e-08,1.67297379018694e-05
